mel_path,wav_path,true_label,pred_label,confidence
./mels_data\tak\1198.npy,./mels_data\tak\1198.npy,tak,doum,0.9728083610534668
./mels_data\tak\1126.npy,./mels_data\tak\1126.npy,tak,doum,0.9266399145126343
./mels_data\tak\1202.npy,./mels_data\tak\1202.npy,tak,doum,0.7262246012687683
./mels_data\tak\1300.npy,./mels_data\tak\1300.npy,tak,doum,0.9117345809936523
./mels_data\tik\0016.npy,./mels_data\tik\0016.npy,tik,pa2,0.5083293914794922
./mels_data\tak\1207.npy,./mels_data\tak\1207.npy,tak,doum,0.9388757348060608
./mels_data\tak\1181.npy,./mels_data\tak\1181.npy,tak,doum,0.8846783638000488
./mels_data\tik\0480.npy,./mels_data\tik\0480.npy,tik,pa2,0.7125598788261414
./mels_data\tak\1178.npy,./mels_data\tak\1178.npy,tak,doum,0.9078925251960754
./mels_data\tik\0645.npy,./mels_data\tik\0645.npy,tik,pa2,0.8933871388435364
./mels_data\tik\0619.npy,./mels_data\tik\0619.npy,tik,tak,0.779029905796051
./mels_data\doum\0175.npy,./mels_data\doum\0175.npy,doum,tak,0.9125635623931885
./mels_data\tak\1306.npy,./mels_data\tak\1306.npy,tak,doum,0.9250614643096924
./mels_data\pa2\0334.npy,./mels_data\pa2\0334.npy,pa2,tik,0.8018467426300049
./mels_data\tak\1220.npy,./mels_data\tak\1220.npy,tak,doum,0.7776920795440674
./mels_data\tak\1289.npy,./mels_data\tak\1289.npy,tak,doum,0.7671117782592773
./mels_data\tak\1180.npy,./mels_data\tak\1180.npy,tak,doum,0.8743650317192078
./mels_data\tik\0245.npy,./mels_data\tik\0245.npy,tik,pa2,0.8826485276222229
./mels_data\tak\1218.npy,./mels_data\tak\1218.npy,tak,doum,0.9079917669296265
./mels_data\tak\1109.npy,./mels_data\tak\1109.npy,tak,pa2,0.854038417339325
./mels_data\tak\1236.npy,./mels_data\tak\1236.npy,tak,doum,0.6941570043563843
./mels_data\tik\0657.npy,./mels_data\tik\0657.npy,tik,tak,0.9275678396224976
./mels_data\tak\1224.npy,./mels_data\tak\1224.npy,tak,doum,0.8236385583877563
./mels_data\tik\0173.npy,./mels_data\tik\0173.npy,tik,tak,0.7470637559890747
./mels_data\tak\1222.npy,./mels_data\tak\1222.npy,tak,doum,0.8159539699554443
